File,Current Memory (MB),Peak Memory (MB),Elapsed Time (seconds),Result Length,Result
1,0.44393062591552734,0.6775217056274414,1.1321098804473877,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
2,0.33477020263671875,0.6991500854492188,1.8708884716033936,6,"['sao_paulo', 'natal', 'natal', 'sao_paulo', 'joao_pessoa', 'manaus']"
3,0.3401918411254883,1.638188362121582,3.582343578338623,6,"['sao_paulo', 'belo_horizonte', 'natal', 'natal', 'belo_horizonte', 'manaus']"
4,0.34405994415283203,1.7148942947387695,4.283383846282959,6,"['sao_paulo', 'natal', 'natal', 'salvador', 'belo_horizonte', 'manaus']"
5,0.36135005950927734,1.7148942947387695,3.331228494644165,6,"['sao_paulo', 'joao_pessoa', 'natal', 'natal', 'joao_pessoa', 'manaus']"
6,0.8209238052368164,1.7148942947387695,2.8831636905670166,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
7,0.373992919921875,2.696969985961914,3.0233161449432373,5,"['sao_paulo', 'natal', 'natal', 'joao_pessoa', 'manaus']"
8,0.18395519256591797,12.889516830444336,105.45583128929138,12,"['sao_paulo', 'belo_horizonte', 'fortaleza', 'salvador', 'joao_pessoa', 'natal', 'natal', 'joao_pessoa', 'salvador', 'fortaleza', 'recife', 'manaus']"
9,0.18392562866210938,12.889516830444336,0.7051575183868408,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
10,0.18437957763671875,12.889516830444336,0.8364527225494385,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
11,0.18483543395996094,12.889516830444336,0.9292359352111816,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
12,0.18535137176513672,12.889516830444336,0.8048861026763916,5,"['sao_paulo', 'belo_horizonte', 'natal', 'natal', 'manaus']"
13,0.1859760284423828,12.889516830444336,0.7513184547424316,5,"['sao_paulo', 'fortaleza', 'natal', 'natal', 'manaus']"
14,0.373443603515625,0.6775217056274414,1.1207294464111328,5,"['sao_paulo', 'natal', 'natal', 'fortaleza', 'manaus']"
15,0.3380117416381836,1.638188362121582,5.740443706512451,5,"['sao_paulo', 'natal', 'natal', 'belo_horizonte', 'manaus']"
16,0.34331798553466797,1.7148942947387695,4.719846725463867,6,"['sao_paulo', 'recife', 'natal', 'natal', 'rio_de_janeiro', 'manaus']"
17,0.3668251037597656,1.7148942947387695,3.3556911945343018,6,"['sao_paulo', 'joao_pessoa', 'natal', 'natal', 'joao_pessoa', 'manaus']"
18,0.3717489242553711,2.696969985961914,3.967331647872925,6,"['sao_paulo', 'joao_pessoa', 'natal', 'natal', 'rio_de_janeiro', 'manaus']"
19,0.3705577850341797,2.772104263305664,5.6781275272369385,5,"['sao_paulo', 'manaus', 'natal', 'natal', 'manaus']"
20,0.3819904327392578,2.772104263305664,2.771979570388794,5,"['sao_paulo', 'natal', 'natal', 'sao_paulo', 'manaus']"
21,0.39487361907958984,12.889516830444336,8.405038833618164,5,"['sao_paulo', 'natal', 'natal', 'rio_de_janeiro', 'manaus']"
22,0.40608882904052734,12.889516830444336,2.7185564041137695,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
23,0.38921642303466797,12.889516830444336,4.637768268585205,6,"['sao_paulo', 'fortaleza', 'natal', 'natal', 'joao_pessoa', 'manaus']"
24,0.3814077377319336,12.889516830444336,4.550782203674316,5,"['sao_paulo', 'belo_horizonte', 'natal', 'natal', 'manaus']"
25,0.34093189239501953,12.889516830444336,2.065032720565796,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
26,0.34248828887939453,12.889516830444336,3.2561874389648438,7,"['sao_paulo', 'salvador', 'natal', 'natal', 'salvador', 'sao_paulo', 'manaus']"
27,0.32437705993652344,0.6775217056274414,1.1447103023529053,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
