File,Current Memory (MB),Peak Memory (MB),Elapsed Time (seconds),Result Length,Result
1,0.33202362060546875,0.8172225952148438,2.6637308597564697,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
2,0.3434457778930664,0.8172225952148438,2.2488887310028076,6,"['sao_paulo', 'natal', 'natal', 'sao_paulo', 'joao_pessoa', 'manaus']"
3,0.406951904296875,1.631892204284668,2.5391767024993896,6,"['sao_paulo', 'belo_horizonte', 'natal', 'natal', 'belo_horizonte', 'manaus']"
4,0.4258699417114258,1.701385498046875,4.54677414894104,9,"['sao_paulo', 'natal', 'natal', 'salvador', 'belo_horizonte', 'fortaleza', 'recife', 'joao_pessoa', 'manaus']"
5,0.3327503204345703,1.701385498046875,3.7000765800476074,6,"['sao_paulo', 'joao_pessoa', 'natal', 'natal', 'joao_pessoa', 'manaus']"
6,0.37904930114746094,1.701385498046875,2.9889066219329834,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
7,0.36083126068115234,1.701385498046875,2.3754677772521973,5,"['sao_paulo', 'natal', 'natal', 'joao_pessoa', 'manaus']"
8,0.38437652587890625,12.9048433303833,13.36570405960083,12,"['sao_paulo', 'belo_horizonte', 'fortaleza', 'salvador', 'joao_pessoa', 'natal', 'natal', 'joao_pessoa', 'salvador', 'fortaleza', 'belo_horizonte', 'manaus']"
9,0.40533447265625,12.9048433303833,2.853792428970337,5,"['sao_paulo', 'natal', 'natal', 'joao_pessoa', 'manaus']"
10,0.35927486419677734,12.9048433303833,3.7513587474823,6,"['sao_paulo', 'natal', 'natal', 'sao_paulo', 'belo_horizonte', 'manaus']"
11,0.2893810272216797,12.9048433303833,2.084674119949341,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
12,0.28256893157958984,12.9048433303833,1.6128995418548584,5,"['sao_paulo', 'belo_horizonte', 'natal', 'natal', 'manaus']"
13,0.2619314193725586,12.9048433303833,1.5624747276306152,7,"['sao_paulo', 'fortaleza', 'natal', 'natal', 'fortaleza', 'joao_pessoa', 'manaus']"
14,0.3152608871459961,0.8172225952148438,2.834237575531006,6,"['sao_paulo', 'natal', 'natal', 'belo_horizonte', 'fortaleza', 'manaus']"
15,0.3309049606323242,1.631892204284668,3.849242925643921,6,"['sao_paulo', 'natal', 'natal', 'rio_de_janeiro', 'belo_horizonte', 'manaus']"
16,0.3397846221923828,1.701385498046875,4.921093225479126,6,"['sao_paulo', 'recife', 'natal', 'natal', 'recife', 'manaus']"
17,0.3376178741455078,1.701385498046875,3.6406736373901367,6,"['sao_paulo', 'joao_pessoa', 'natal', 'natal', 'joao_pessoa', 'manaus']"
18,0.3620414733886719,1.701385498046875,2.4982354640960693,7,"['sao_paulo', 'joao_pessoa', 'natal', 'natal', 'joao_pessoa', 'rio_de_janeiro', 'manaus']"
19,0.46721458435058594,1.701385498046875,4.6695709228515625,5,"['sao_paulo', 'manaus', 'natal', 'natal', 'manaus']"
20,0.37773799896240234,1.701385498046875,2.8526618480682373,8,"['sao_paulo', 'natal', 'natal', 'rio_de_janeiro', 'belo_horizonte', 'joao_pessoa', 'sao_paulo', 'manaus']"
21,0.39911651611328125,1.701385498046875,3.8069345951080322,5,"['sao_paulo', 'natal', 'natal', 'sao_paulo', 'manaus']"
22,0.6085615158081055,12.9048433303833,3.5314886569976807,8,"['sao_paulo', 'natal', 'natal', 'belo_horizonte', 'joao_pessoa', 'fortaleza', 'recife', 'manaus']"
23,0.4037666320800781,12.9048433303833,4.2793591022491455,9,"['sao_paulo', 'fortaleza', 'natal', 'natal', 'recife', 'rio_de_janeiro', 'belo_horizonte', 'joao_pessoa', 'manaus']"
24,0.34907054901123047,12.9048433303833,4.6553215980529785,5,"['sao_paulo', 'belo_horizonte', 'natal', 'natal', 'manaus']"
25,0.2891073226928711,12.9048433303833,1.8761932849884033,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
26,0.28312015533447266,12.9048433303833,1.645535945892334,9,"['sao_paulo', 'salvador', 'natal', 'natal', 'salvador', 'fortaleza', 'recife', 'rio_de_janeiro', 'manaus']"
27,0.3551759719848633,0.8172225952148438,2.715932846069336,5,"['sao_paulo', 'natal', 'natal', 'belo_horizonte', 'manaus']"
28,0.34845638275146484,0.8172225952148438,2.4946916103363037,5,"['sao_paulo', 'fortaleza', 'natal', 'natal', 'manaus']"
29,0.3394489288330078,1.701385498046875,5.039459705352783,5,"['sao_paulo', 'joao_pessoa', 'natal', 'natal', 'manaus']"
30,0.3716554641723633,1.701385498046875,4.993683815002441,10,"['sao_paulo', 'belo_horizonte', 'joao_pessoa', 'natal', 'natal', 'recife', 'fortaleza', 'rio_de_janeiro', 'belo_horizonte', 'manaus']"
31,0.3657064437866211,1.701385498046875,2.803126811981201,5,"['sao_paulo', 'recife', 'natal', 'natal', 'manaus']"
32,0.3615150451660156,1.701385498046875,3.301868438720703,7,"['sao_paulo', 'joao_pessoa', 'recife', 'natal', 'natal', 'fortaleza', 'manaus']"
33,0.3867769241333008,1.701385498046875,2.6849939823150635,7,"['sao_paulo', 'joao_pessoa', 'natal', 'natal', 'joao_pessoa', 'fortaleza', 'manaus']"
34,0.3867511749267578,1.701385498046875,3.5007412433624268,5,"['sao_paulo', 'manaus', 'natal', 'natal', 'manaus']"
35,0.3837718963623047,1.701385498046875,3.508204460144043,8,"['sao_paulo', 'natal', 'natal', 'joao_pessoa', 'belo_horizonte', 'rio_de_janeiro', 'salvador', 'manaus']"
36,0.39366626739501953,12.9048433303833,3.0346274375915527,5,"['sao_paulo', 'recife', 'natal', 'natal', 'manaus']"
