File,Current Memory (MB),Peak Memory (MB),Elapsed Time (seconds),Result Length,Result
52,0.41837024688720703,0.8172225952148438,2.7020699977874756,8,"['sao_paulo', 'fortaleza', 'rio_de_janeiro', 'natal', 'natal', 'rio_de_janeiro', 'fortaleza', 'manaus']"
53,0.5471038818359375,0.8341054916381836,2.8697571754455566,5,"['sao_paulo', 'manaus', 'natal', 'natal', 'manaus']"
54,0.3359184265136719,1.701385498046875,5.413854598999023,7,"['sao_paulo', 'fortaleza', 'natal', 'natal', 'fortaleza', 'sao_paulo', 'manaus']"
55,0.3525667190551758,1.701385498046875,4.701337814331055,5,"['sao_paulo', 'recife', 'natal', 'natal', 'manaus']"
56,0.5258255004882812,1.701385498046875,3.7636568546295166,7,"['sao_paulo', 'belo_horizonte', 'manaus', 'natal', 'natal', 'joao_pessoa', 'manaus']"
57,0.38011741638183594,1.701385498046875,2.400489568710327,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
58,0.4023313522338867,1.701385498046875,2.7393364906311035,7,"['sao_paulo', 'recife', 'belo_horizonte', 'manaus', 'natal', 'natal', 'manaus']"
59,0.7506275177001953,1.701385498046875,2.7889115810394287,5,"['sao_paulo', 'natal', 'natal', 'sao_paulo', 'manaus']"
60,0.4488201141357422,1.701385498046875,3.6202306747436523,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
61,0.4002056121826172,12.9048433303833,2.957390069961548,8,"['sao_paulo', 'recife', 'manaus', 'belo_horizonte', 'natal', 'natal', 'salvador', 'manaus']"
62,0.39949798583984375,12.9048433303833,2.54952073097229,8,"['sao_paulo', 'rio_de_janeiro', 'natal', 'natal', 'rio_de_janeiro', 'fortaleza', 'belo_horizonte', 'manaus']"
63,0.6420698165893555,12.9048433303833,3.359624147415161,7,"['sao_paulo', 'natal', 'natal', 'fortaleza', 'salvador', 'rio_de_janeiro', 'manaus']"
64,0.31863880157470703,12.9048433303833,2.559494733810425,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
