File,Current Memory (MB),Peak Memory (MB),Elapsed Time (seconds),Result Length,Result
1,0.3027181625366211,0.7577228546142578,1.8318452835083008,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
2,0.3303413391113281,0.8254289627075195,2.4352877140045166,6,"['sao_paulo', 'natal', 'natal', 'sao_paulo', 'joao_pessoa', 'manaus']"
3,0.33771514892578125,1.693049430847168,3.394725799560547,6,"['sao_paulo', 'belo_horizonte', 'natal', 'natal', 'belo_horizonte', 'manaus']"
4,0.3422679901123047,2.6721506118774414,3.984905242919922,5,"['sao_paulo', 'natal', 'natal', 'sao_paulo', 'manaus']"
5,0.3624439239501953,2.6721506118774414,3.0392000675201416,6,"['sao_paulo', 'recife', 'natal', 'natal', 'joao_pessoa', 'manaus']"
6,0.36598873138427734,2.6721506118774414,2.0874156951904297,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
7,0.36130619049072266,2.7292375564575195,3.4899849891662598,5,"['sao_paulo', 'natal', 'natal', 'sao_paulo', 'manaus']"
8,0.18712806701660156,13.27395248413086,33.48518967628479,12,"['sao_paulo', 'belo_horizonte', 'fortaleza', 'salvador', 'joao_pessoa', 'natal', 'natal', 'joao_pessoa', 'salvador', 'fortaleza', 'recife', 'manaus']"
9,0.1852865219116211,13.27395248413086,0.7862451076507568,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
10,0.1849231719970703,13.27395248413086,0.8296365737915039,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
11,0.18543529510498047,13.27395248413086,0.8781514167785645,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
12,0.18593597412109375,13.27395248413086,0.738609790802002,5,"['sao_paulo', 'manaus', 'natal', 'natal', 'manaus']"
13,0.18655776977539062,13.27395248413086,0.6634829044342041,5,"['sao_paulo', 'fortaleza', 'natal', 'natal', 'manaus']"
14,0.32655811309814453,0.7577228546142578,2.4756460189819336,5,"['sao_paulo', 'natal', 'natal', 'sao_paulo', 'manaus']"
15,0.33643245697021484,1.638737678527832,3.087850332260132,5,"['sao_paulo', 'natal', 'natal', 'belo_horizonte', 'manaus']"
16,0.33704376220703125,1.693049430847168,3.0413997173309326,6,"['sao_paulo', 'recife', 'natal', 'natal', 'rio_de_janeiro', 'manaus']"
17,0.5839519500732422,2.6721506118774414,2.9908900260925293,6,"['sao_paulo', 'joao_pessoa', 'natal', 'natal', 'joao_pessoa', 'manaus']"
18,0.34935855865478516,2.6721506118774414,3.7003567218780518,6,"['sao_paulo', 'rio_de_janeiro', 'natal', 'natal', 'joao_pessoa', 'manaus']"
19,0.3578176498413086,2.7292375564575195,3.8135221004486084,5,"['sao_paulo', 'manaus', 'natal', 'natal', 'manaus']"
20,0.4604215621948242,2.7292375564575195,2.3091721534729004,5,"['sao_paulo', 'natal', 'natal', 'sao_paulo', 'manaus']"
21,0.3946046829223633,2.7292375564575195,5.52319598197937,5,"['sao_paulo', 'natal', 'natal', 'salvador', 'manaus']"
22,0.3745298385620117,13.27395248413086,2.336629629135132,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
23,0.4006204605102539,13.27395248413086,3.6237761974334717,6,"['sao_paulo', 'fortaleza', 'natal', 'natal', 'joao_pessoa', 'manaus']"
24,0.40123462677001953,13.27395248413086,2.9384613037109375,5,"['sao_paulo', 'belo_horizonte', 'natal', 'natal', 'manaus']"
25,0.3711690902709961,13.27395248413086,2.1666133403778076,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
26,0.2895011901855469,13.27395248413086,2.4263548851013184,7,"['sao_paulo', 'salvador', 'natal', 'natal', 'salvador', 'sao_paulo', 'manaus']"
27,0.3961906433105469,0.7577228546142578,2.4477198123931885,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
28,0.3299388885498047,1.638737678527832,3.1814675331115723,5,"['sao_paulo', 'joao_pessoa', 'natal', 'natal', 'manaus']"
29,0.3321800231933594,1.693049430847168,4.370560884475708,5,"['sao_paulo', 'joao_pessoa', 'natal', 'natal', 'manaus']"
30,0.36319828033447266,2.6721506118774414,3.1518094539642334,6,"['sao_paulo', 'salvador', 'natal', 'natal', 'joao_pessoa', 'manaus']"
31,0.3585996627807617,2.6721506118774414,3.120046854019165,5,"['sao_paulo', 'recife', 'natal', 'natal', 'manaus']"
32,0.36428070068359375,2.7292375564575195,3.161489248275757,6,"['sao_paulo', 'salvador', 'manaus', 'natal', 'natal', 'manaus']"
33,0.501948356628418,2.7292375564575195,2.383094310760498,7,"['sao_paulo', 'joao_pessoa', 'natal', 'natal', 'salvador', 'fortaleza', 'manaus']"
34,0.3989982604980469,2.7292375564575195,2.649897336959839,5,"['sao_paulo', 'manaus', 'natal', 'natal', 'manaus']"
35,0.38390541076660156,13.27395248413086,3.559814214706421,6,"['sao_paulo', 'natal', 'natal', 'sao_paulo', 'salvador', 'manaus']"
36,0.8239965438842773,13.27395248413086,2.1381311416625977,5,"['sao_paulo', 'manaus', 'natal', 'natal', 'manaus']"
37,0.4840240478515625,13.27395248413086,4.108750104904175,7,"['sao_paulo', 'belo_horizonte', 'natal', 'natal', 'fortaleza', 'rio_de_janeiro', 'manaus']"
38,0.3829994201660156,13.27395248413086,4.657631874084473,9,"['sao_paulo', 'manaus', 'rio_de_janeiro', 'recife', 'natal', 'natal', 'recife', 'rio_de_janeiro', 'manaus']"
39,0.25346946716308594,13.27395248413086,2.7310121059417725,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
40,0.32391834259033203,0.7577228546142578,2.524402379989624,5,"['sao_paulo', 'fortaleza', 'natal', 'natal', 'manaus']"
41,0.3247709274291992,0.8254289627075195,2.5997743606567383,5,"['sao_paulo', 'natal', 'natal', 'rio_de_janeiro', 'manaus']"
42,0.34275341033935547,1.693049430847168,2.899155616760254,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
43,0.3478879928588867,2.6721506118774414,3.0661659240722656,7,"['sao_paulo', 'fortaleza', 'salvador', 'natal', 'natal', 'recife', 'manaus']"
44,0.35214900970458984,2.6721506118774414,3.9686920642852783,7,"['sao_paulo', 'belo_horizonte', 'fortaleza', 'natal', 'natal', 'fortaleza', 'manaus']"
45,0.36156749725341797,2.7292375564575195,4.56308126449585,6,"['sao_paulo', 'recife', 'natal', 'natal', 'fortaleza', 'manaus']"
46,0.3933887481689453,2.7292375564575195,3.7136471271514893,6,"['sao_paulo', 'recife', 'natal', 'natal', 'fortaleza', 'manaus']"
47,0.8163595199584961,2.7292375564575195,4.059942722320557,5,"['sao_paulo', 'natal', 'natal', 'recife', 'manaus']"
48,0.40954113006591797,13.27395248413086,3.928598642349243,6,"['sao_paulo', 'natal', 'natal', 'sao_paulo', 'rio_de_janeiro', 'manaus']"
49,0.39886951446533203,13.27395248413086,2.9654054641723633,5,"['sao_paulo', 'joao_pessoa', 'natal', 'natal', 'manaus']"
50,0.4124422073364258,13.27395248413086,2.6475799083709717,5,"['sao_paulo', 'salvador', 'natal', 'natal', 'manaus']"
51,0.3758230209350586,13.27395248413086,2.1265599727630615,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
52,0.3219432830810547,0.7577228546142578,2.6262242794036865,7,"['sao_paulo', 'fortaleza', 'rio_de_janeiro', 'natal', 'natal', 'rio_de_janeiro', 'manaus']"
53,0.7737617492675781,1.638737678527832,2.9013094902038574,5,"['sao_paulo', 'fortaleza', 'natal', 'natal', 'manaus']"
54,0.3472251892089844,2.6721506118774414,5.344347953796387,7,"['sao_paulo', 'fortaleza', 'natal', 'natal', 'fortaleza', 'sao_paulo', 'manaus']"
55,0.3610382080078125,2.6721506118774414,3.6405792236328125,5,"['sao_paulo', 'recife', 'natal', 'natal', 'manaus']"
56,0.36379337310791016,2.6721506118774414,2.4901583194732666,6,"['sao_paulo', 'belo_horizonte', 'manaus', 'natal', 'natal', 'manaus']"
57,0.7016458511352539,2.7292375564575195,2.0946178436279297,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
58,0.37500858306884766,2.7292375564575195,1.9844944477081299,7,"['sao_paulo', 'recife', 'belo_horizonte', 'fortaleza', 'natal', 'natal', 'manaus']"
59,0.37729930877685547,2.7292375564575195,2.4027419090270996,5,"['sao_paulo', 'natal', 'natal', 'sao_paulo', 'manaus']"
60,8.406254768371582,13.27395248413086,4.43854022026062,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
61,0.3857574462890625,13.27395248413086,2.979877471923828,7,"['sao_paulo', 'joao_pessoa', 'rio_de_janeiro', 'natal', 'natal', 'rio_de_janeiro', 'manaus']"
62,0.3909921646118164,13.27395248413086,2.8397252559661865,6,"['sao_paulo', 'rio_de_janeiro', 'natal', 'natal', 'rio_de_janeiro', 'manaus']"
63,0.40633583068847656,13.27395248413086,3.352919101715088,5,"['sao_paulo', 'natal', 'natal', 'joao_pessoa', 'manaus']"
64,0.3184061050415039,13.27395248413086,2.73325252532959,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
65,0.3429889678955078,0.7577228546142578,1.8153800964355469,6,"['sao_paulo', 'salvador', 'natal', 'natal', 'rio_de_janeiro', 'manaus']"
66,0.39898109436035156,0.8254289627075195,2.533543825149536,5,"['sao_paulo', 'manaus', 'natal', 'natal', 'manaus']"
67,0.3473930358886719,1.638737678527832,2.7055776119232178,5,"['sao_paulo', 'manaus', 'natal', 'natal', 'manaus']"
68,0.34662532806396484,1.693049430847168,2.239687919616699,5,"['sao_paulo', 'belo_horizonte', 'natal', 'natal', 'manaus']"
69,0.34295082092285156,2.6721506118774414,2.8846423625946045,5,"['sao_paulo', 'belo_horizonte', 'natal', 'natal', 'manaus']"
70,0.36017322540283203,2.6721506118774414,2.0795090198516846,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
71,0.3515338897705078,2.7292375564575195,3.4297614097595215,7,"['sao_paulo', 'joao_pessoa', 'natal', 'natal', 'joao_pessoa', 'sao_paulo', 'manaus']"
72,0.37210845947265625,2.7292375564575195,4.134960412979126,7,"['sao_paulo', 'recife', 'natal', 'natal', 'recife', 'sao_paulo', 'manaus']"
73,0.3849954605102539,2.7292375564575195,3.3308403491973877,7,"['sao_paulo', 'joao_pessoa', 'recife', 'natal', 'natal', 'recife', 'manaus']"
74,1.0259971618652344,13.27395248413086,2.8370091915130615,6,"['sao_paulo', 'joao_pessoa', 'natal', 'natal', 'belo_horizonte', 'manaus']"
75,0.4323911666870117,13.27395248413086,3.779914379119873,6,"['sao_paulo', 'joao_pessoa', 'manaus', 'natal', 'natal', 'manaus']"
76,0.3924064636230469,13.27395248413086,2.669769048690796,6,"['sao_paulo', 'natal', 'natal', 'sao_paulo', 'rio_de_janeiro', 'manaus']"
77,1.193094253540039,13.27395248413086,3.000946283340454,5,"['sao_paulo', 'salvador', 'natal', 'natal', 'manaus']"
78,0.3152503967285156,0.7577228546142578,2.7417988777160645,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
79,0.3280801773071289,1.638737678527832,3.5212059020996094,5,"['sao_paulo', 'manaus', 'natal', 'natal', 'manaus']"
80,0.3440389633178711,1.693049430847168,3.1888906955718994,5,"['sao_paulo', 'fortaleza', 'natal', 'natal', 'manaus']"
81,0.3358802795410156,2.6721506118774414,2.31095552444458,6,"['sao_paulo', 'belo_horizonte', 'natal', 'natal', 'salvador', 'manaus']"
82,0.35961437225341797,2.6721506118774414,3.2558486461639404,6,"['sao_paulo', 'belo_horizonte', 'natal', 'natal', 'belo_horizonte', 'manaus']"
83,0.35117340087890625,2.7292375564575195,3.2269325256347656,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
84,0.41450023651123047,2.7292375564575195,3.9197256565093994,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
85,0.3918952941894531,2.7292375564575195,2.4536561965942383,6,"['sao_paulo', 'fortaleza', 'rio_de_janeiro', 'natal', 'natal', 'manaus']"
86,0.5200052261352539,2.7292375564575195,2.2235007286071777,6,"['sao_paulo', 'recife', 'natal', 'natal', 'recife', 'manaus']"
87,0.4791250228881836,13.27395248413086,2.4255034923553467,6,"['sao_paulo', 'natal', 'natal', 'sao_paulo', 'fortaleza', 'manaus']"
88,0.3859729766845703,13.27395248413086,2.6879682540893555,6,"['sao_paulo', 'joao_pessoa', 'natal', 'natal', 'fortaleza', 'manaus']"
89,0.38910961151123047,13.27395248413086,3.155487298965454,6,"['sao_paulo', 'fortaleza', 'natal', 'natal', 'fortaleza', 'manaus']"
90,0.34121036529541016,13.27395248413086,4.135979652404785,7,"['sao_paulo', 'joao_pessoa', 'natal', 'natal', 'joao_pessoa', 'fortaleza', 'manaus']"
91,0.3159341812133789,0.7577228546142578,2.8272500038146973,5,"['sao_paulo', 'natal', 'natal', 'belo_horizonte', 'manaus']"
92,0.3387489318847656,1.693049430847168,6.302988290786743,5,"['sao_paulo', 'natal', 'natal', 'rio_de_janeiro', 'manaus']"
93,0.21702861785888672,13.27395248413086,35.41460299491882,6,"['sao_paulo', 'fortaleza', 'manaus', 'natal', 'natal', 'manaus']"
94,0.21770572662353516,13.27395248413086,0.9613437652587891,7,"['sao_paulo', 'manaus', 'fortaleza', 'natal', 'natal', 'fortaleza', 'manaus']"
95,0.21844100952148438,13.27395248413086,1.1796433925628662,8,"['sao_paulo', 'salvador', 'manaus', 'belo_horizonte', 'natal', 'natal', 'belo_horizonte', 'manaus']"
96,0.2190227508544922,13.27395248413086,1.023815393447876,6,"['sao_paulo', 'salvador', 'natal', 'natal', 'salvador', 'manaus']"
97,0.21952056884765625,13.27395248413086,0.9649062156677246,6,"['sao_paulo', 'salvador', 'natal', 'natal', 'salvador', 'manaus']"
98,0.22004413604736328,13.27395248413086,2.22237491607666,6,"['sao_paulo', 'recife', 'salvador', 'natal', 'natal', 'manaus']"
99,0.22068214416503906,13.27395248413086,1.0314924716949463,6,"['sao_paulo', 'rio_de_janeiro', 'natal', 'natal', 'joao_pessoa', 'manaus']"
100,0.22119426727294922,13.27395248413086,0.9658162593841553,5,"['sao_paulo', 'natal', 'natal', 'fortaleza', 'manaus']"
