File,Current Memory (MB),Peak Memory (MB),Elapsed Time (seconds),Result Length,Result
27,0.3961906433105469,0.7577228546142578,2.4477198123931885,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
28,0.3299388885498047,1.638737678527832,3.1814675331115723,5,"['sao_paulo', 'joao_pessoa', 'natal', 'natal', 'manaus']"
29,0.3321800231933594,1.693049430847168,4.370560884475708,5,"['sao_paulo', 'joao_pessoa', 'natal', 'natal', 'manaus']"
30,0.36319828033447266,2.6721506118774414,3.1518094539642334,6,"['sao_paulo', 'salvador', 'natal', 'natal', 'joao_pessoa', 'manaus']"
31,0.3585996627807617,2.6721506118774414,3.120046854019165,5,"['sao_paulo', 'recife', 'natal', 'natal', 'manaus']"
32,0.36428070068359375,2.7292375564575195,3.161489248275757,6,"['sao_paulo', 'salvador', 'manaus', 'natal', 'natal', 'manaus']"
33,0.501948356628418,2.7292375564575195,2.383094310760498,7,"['sao_paulo', 'joao_pessoa', 'natal', 'natal', 'salvador', 'fortaleza', 'manaus']"
34,0.3989982604980469,2.7292375564575195,2.649897336959839,5,"['sao_paulo', 'manaus', 'natal', 'natal', 'manaus']"
35,0.38390541076660156,13.27395248413086,3.559814214706421,6,"['sao_paulo', 'natal', 'natal', 'sao_paulo', 'salvador', 'manaus']"
36,0.8239965438842773,13.27395248413086,2.1381311416625977,5,"['sao_paulo', 'manaus', 'natal', 'natal', 'manaus']"
37,0.4840240478515625,13.27395248413086,4.108750104904175,7,"['sao_paulo', 'belo_horizonte', 'natal', 'natal', 'fortaleza', 'rio_de_janeiro', 'manaus']"
38,0.3829994201660156,13.27395248413086,4.657631874084473,9,"['sao_paulo', 'manaus', 'rio_de_janeiro', 'recife', 'natal', 'natal', 'recife', 'rio_de_janeiro', 'manaus']"
39,0.25346946716308594,13.27395248413086,2.7310121059417725,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
