File,Current Memory (MB),Peak Memory (MB),Elapsed Time (seconds),Result Length,Result
52,0.3131904602050781,0.7387285232543945,3.1883339881896973,11,"['sao_paulo', 'fortaleza', 'manaus', 'rio_de_janeiro', 'natal', 'natal', 'rio_de_janeiro', 'recife', 'belo_horizonte', 'salvador', 'manaus']"
53,0.32158374786376953,1.6161279678344727,2.369533061981201,6,"['sao_paulo', 'fortaleza', 'manaus', 'natal', 'natal', 'manaus']"
54,2.4886512756347656,4.3511152267456055,3.159172296524048,7,"['sao_paulo', 'rio_de_janeiro', 'salvador', 'joao_pessoa', 'belo_horizonte', 'fortaleza', 'natal']"
55,0.34244823455810547,4.3511152267456055,3.668855905532837,5,"['sao_paulo', 'recife', 'natal', 'natal', 'manaus']"
56,0.35669994354248047,4.3511152267456055,3.8730058670043945,13,"['sao_paulo', 'belo_horizonte', 'manaus', 'rio_de_janeiro', 'joao_pessoa', 'recife', 'fortaleza', 'natal', 'natal', 'joao_pessoa', 'recife', 'fortaleza', 'manaus']"
57,0.3623619079589844,4.3511152267456055,2.596950054168701,5,"['sao_paulo', 'manaus', 'natal', 'natal', 'manaus']"
58,0.37540626525878906,4.3511152267456055,2.741652727127075,7,"['sao_paulo', 'recife', 'belo_horizonte', 'fortaleza', 'natal', 'natal', 'manaus']"
59,0.6123533248901367,12.916952133178711,2.0452795028686523,7,"['sao_paulo', 'natal', 'natal', 'sao_paulo', 'fortaleza', 'salvador', 'manaus']"
60,0.6354246139526367,12.916952133178711,2.99853253364563,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
61,0.3719024658203125,12.916952133178711,2.1650381088256836,12,"['sao_paulo', 'joao_pessoa', 'fortaleza', 'manaus', 'belo_horizonte', 'natal', 'natal', 'rio_de_janeiro', 'joao_pessoa', 'sao_paulo', 'fortaleza', 'manaus']"
62,0.3471832275390625,12.916952133178711,2.922584295272827,10,"['sao_paulo', 'rio_de_janeiro', 'manaus', 'belo_horizonte', 'natal', 'natal', 'rio_de_janeiro', 'fortaleza', 'belo_horizonte', 'manaus']"
63,0.3259725570678711,12.916952133178711,1.9013135433197021,2,"['sao_paulo', 'natal']"
64,0.2583732604980469,12.916952133178711,1.5226812362670898,6,"['sao_paulo', 'recife', 'belo_horizonte', 'salvador', 'rio_de_janeiro', 'natal']"
