File,Current Memory (MB),Peak Memory (MB),Elapsed Time (seconds),Result Length,Result
1,0.28407955169677734,0.4600372314453125,2.484130859375,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
2,0.3216848373413086,0.49085426330566406,2.746206045150757,6,"['sao_paulo', 'natal', 'natal', 'sao_paulo', 'joao_pessoa', 'manaus']"
3,0.33289432525634766,0.49085426330566406,2.7772164344787598,7,"['sao_paulo', 'manaus', 'belo_horizonte', 'natal', 'natal', 'belo_horizonte', 'manaus']"
4,0.3393688201904297,0.49277591705322266,3.9914932250976562,6,"['sao_paulo', 'natal', 'natal', 'salvador', 'belo_horizonte', 'manaus']"
5,0.3664226531982422,0.49277591705322266,2.5524675846099854,7,"['sao_paulo', 'joao_pessoa', 'natal', 'natal', 'belo_horizonte', 'rio_de_janeiro', 'manaus']"
6,0.35817718505859375,0.49277591705322266,3.497666597366333,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
7,0.3627891540527344,0.49277591705322266,2.5272300243377686,5,"['sao_paulo', 'natal', 'natal', 'joao_pessoa', 'manaus']"
8,0.3715190887451172,0.49277591705322266,1.877598524093628,12,"['sao_paulo', 'belo_horizonte', 'fortaleza', 'salvador', 'joao_pessoa', 'natal', 'natal', 'joao_pessoa', 'salvador', 'fortaleza', 'recife', 'manaus']"
9,0.37872886657714844,0.49277591705322266,2.607398271560669,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
10,0.3887968063354492,0.5069456100463867,2.4970874786376953,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
11,0.3662242889404297,0.5310268402099609,2.91290283203125,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
12,0.2772865295410156,0.5310268402099609,1.7871041297912598,5,"['sao_paulo', 'belo_horizonte', 'natal', 'natal', 'manaus']"
13,0.18950653076171875,0.5310268402099609,1.1700894832611084,7,"['sao_paulo', 'salvador', 'recife', 'fortaleza', 'natal', 'natal', 'manaus']"
14,0.3748512268066406,0.4600372314453125,2.4695780277252197,5,"['sao_paulo', 'natal', 'natal', 'fortaleza', 'manaus']"
15,0.3369464874267578,0.49085426330566406,2.6440255641937256,5,"['sao_paulo', 'natal', 'natal', 'belo_horizonte', 'manaus']"
16,0.330078125,0.49085426330566406,4.036564350128174,7,"['sao_paulo', 'fortaleza', 'recife', 'natal', 'natal', 'rio_de_janeiro', 'manaus']"
17,0.3468809127807617,0.49277591705322266,2.991788148880005,8,"['sao_paulo', 'rio_de_janeiro', 'manaus', 'joao_pessoa', 'natal', 'natal', 'joao_pessoa', 'manaus']"
18,0.34943294525146484,0.49277591705322266,1.8332769870758057,6,"['sao_paulo', 'joao_pessoa', 'natal', 'natal', 'rio_de_janeiro', 'manaus']"
19,0.35858631134033203,0.49277591705322266,2.1547763347625732,6,"['sao_paulo', 'rio_de_janeiro', 'belo_horizonte', 'natal', 'natal', 'manaus']"
20,0.3639097213745117,0.49277591705322266,2.3996176719665527,8,"['sao_paulo', 'natal', 'natal', 'rio_de_janeiro', 'belo_horizonte', 'recife', 'fortaleza', 'manaus']"
21,0.36606884002685547,0.49277591705322266,2.319528579711914,5,"['sao_paulo', 'natal', 'natal', 'rio_de_janeiro', 'manaus']"
22,0.3853797912597656,0.49277591705322266,2.5174567699432373,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
23,0.42879390716552734,0.5069456100463867,2.011038064956665,7,"['sao_paulo', 'belo_horizonte', 'joao_pessoa', 'natal', 'natal', 'joao_pessoa', 'manaus']"
24,0.36349964141845703,0.5310268402099609,2.6431000232696533,8,"['sao_paulo', 'rio_de_janeiro', 'salvador', 'joao_pessoa', 'fortaleza', 'natal', 'natal', 'manaus']"
25,0.3608722686767578,0.5310268402099609,2.1270270347595215,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
26,0.24575138092041016,0.5310268402099609,2.3815741539001465,7,"['sao_paulo', 'salvador', 'natal', 'natal', 'salvador', 'sao_paulo', 'manaus']"
27,0.2977027893066406,0.4600372314453125,2.483123540878296,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
28,0.3001871109008789,0.49085426330566406,2.6320738792419434,5,"['sao_paulo', 'fortaleza', 'natal', 'natal', 'manaus']"
29,0.33516788482666016,0.49085426330566406,2.7594168186187744,5,"['sao_paulo', 'joao_pessoa', 'natal', 'natal', 'manaus']"
30,0.3544025421142578,0.49085426330566406,3.0431458950042725,7,"['sao_paulo', 'belo_horizonte', 'joao_pessoa', 'natal', 'natal', 'joao_pessoa', 'manaus']"
31,0.3461933135986328,0.49277591705322266,2.566112518310547,8,"['sao_paulo', 'fortaleza', 'belo_horizonte', 'salvador', 'recife', 'natal', 'natal', 'manaus']"
32,0.3539714813232422,0.49277591705322266,2.0409247875213623,6,"['sao_paulo', 'joao_pessoa', 'recife', 'natal', 'natal', 'manaus']"
33,0.3642129898071289,0.49277591705322266,2.1777000427246094,10,"['sao_paulo', 'recife', 'joao_pessoa', 'natal', 'natal', 'salvador', 'belo_horizonte', 'joao_pessoa', 'sao_paulo', 'manaus']"
34,0.36295413970947266,0.49277591705322266,2.2433557510375977,7,"['sao_paulo', 'recife', 'joao_pessoa', 'manaus', 'natal', 'natal', 'manaus']"
35,0.3744039535522461,0.49277591705322266,2.72678542137146,8,"['sao_paulo', 'natal', 'natal', 'joao_pessoa', 'belo_horizonte', 'rio_de_janeiro', 'salvador', 'manaus']"
36,0.42377185821533203,0.5069456100463867,2.711671829223633,5,"['sao_paulo', 'recife', 'natal', 'natal', 'manaus']"
37,0.3664369583129883,0.5310268402099609,2.581732988357544,8,"['sao_paulo', 'belo_horizonte', 'natal', 'natal', 'belo_horizonte', 'sao_paulo', 'recife', 'manaus']"
38,0.3629283905029297,0.5310268402099609,2.1022520065307617,11,"['sao_paulo', 'manaus', 'salvador', 'joao_pessoa', 'recife', 'natal', 'natal', 'recife', 'joao_pessoa', 'salvador', 'manaus']"
39,0.3066272735595703,0.5310268402099609,1.9274635314941406,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
40,0.3216676712036133,0.4600372314453125,2.7746543884277344,6,"['sao_paulo', 'recife', 'salvador', 'natal', 'natal', 'manaus']"
41,0.31946563720703125,0.49085426330566406,2.6344761848449707,6,"['sao_paulo', 'natal', 'natal', 'joao_pessoa', 'rio_de_janeiro', 'manaus']"
42,0.3335762023925781,0.49085426330566406,3.6081717014312744,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
43,0.3480863571166992,0.49277591705322266,3.166130781173706,10,"['sao_paulo', 'belo_horizonte', 'fortaleza', 'salvador', 'natal', 'natal', 'joao_pessoa', 'fortaleza', 'belo_horizonte', 'manaus']"
44,0.37030029296875,0.49277591705322266,2.0019359588623047,8,"['sao_paulo', 'belo_horizonte', 'fortaleza', 'natal', 'natal', 'rio_de_janeiro', 'belo_horizonte', 'manaus']"
45,0.3397397994995117,0.49277591705322266,2.053853988647461,6,"['sao_paulo', 'recife', 'natal', 'natal', 'fortaleza', 'manaus']"
46,0.36110973358154297,0.49277591705322266,2.826350688934326,6,"['sao_paulo', 'recife', 'natal', 'natal', 'fortaleza', 'manaus']"
47,0.3671550750732422,0.49277591705322266,2.3322393894195557,7,"['sao_paulo', 'natal', 'natal', 'sao_paulo', 'joao_pessoa', 'fortaleza', 'manaus']"
48,0.3777198791503906,0.49277591705322266,2.470874547958374,6,"['sao_paulo', 'natal', 'natal', 'sao_paulo', 'rio_de_janeiro', 'manaus']"
49,0.3958892822265625,0.5069456100463867,2.494921922683716,5,"['sao_paulo', 'rio_de_janeiro', 'natal', 'natal', 'manaus']"
50,0.36569786071777344,0.5310268402099609,2.0001063346862793,5,"['sao_paulo', 'salvador', 'natal', 'natal', 'manaus']"
51,0.36876964569091797,0.5310268402099609,2.721031427383423,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
