File,Current Memory (MB),Peak Memory (MB),Elapsed Time (seconds),Result Length,Result
27,0.2977027893066406,0.4600372314453125,2.483123540878296,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
28,0.3001871109008789,0.49085426330566406,2.6320738792419434,5,"['sao_paulo', 'fortaleza', 'natal', 'natal', 'manaus']"
29,0.33516788482666016,0.49085426330566406,2.7594168186187744,5,"['sao_paulo', 'joao_pessoa', 'natal', 'natal', 'manaus']"
30,0.3544025421142578,0.49085426330566406,3.0431458950042725,7,"['sao_paulo', 'belo_horizonte', 'joao_pessoa', 'natal', 'natal', 'joao_pessoa', 'manaus']"
31,0.3461933135986328,0.49277591705322266,2.566112518310547,8,"['sao_paulo', 'fortaleza', 'belo_horizonte', 'salvador', 'recife', 'natal', 'natal', 'manaus']"
32,0.3539714813232422,0.49277591705322266,2.0409247875213623,6,"['sao_paulo', 'joao_pessoa', 'recife', 'natal', 'natal', 'manaus']"
33,0.3642129898071289,0.49277591705322266,2.1777000427246094,10,"['sao_paulo', 'recife', 'joao_pessoa', 'natal', 'natal', 'salvador', 'belo_horizonte', 'joao_pessoa', 'sao_paulo', 'manaus']"
34,0.36295413970947266,0.49277591705322266,2.2433557510375977,7,"['sao_paulo', 'recife', 'joao_pessoa', 'manaus', 'natal', 'natal', 'manaus']"
35,0.3744039535522461,0.49277591705322266,2.72678542137146,8,"['sao_paulo', 'natal', 'natal', 'joao_pessoa', 'belo_horizonte', 'rio_de_janeiro', 'salvador', 'manaus']"
36,0.42377185821533203,0.5069456100463867,2.711671829223633,5,"['sao_paulo', 'recife', 'natal', 'natal', 'manaus']"
37,0.3664369583129883,0.5310268402099609,2.581732988357544,8,"['sao_paulo', 'belo_horizonte', 'natal', 'natal', 'belo_horizonte', 'sao_paulo', 'recife', 'manaus']"
38,0.3629283905029297,0.5310268402099609,2.1022520065307617,11,"['sao_paulo', 'manaus', 'salvador', 'joao_pessoa', 'recife', 'natal', 'natal', 'recife', 'joao_pessoa', 'salvador', 'manaus']"
39,0.3066272735595703,0.5310268402099609,1.9274635314941406,4,"['sao_paulo', 'natal', 'natal', 'manaus']"
