File,Current Memory (MB),Peak Memory (MB),Elapsed Time (seconds),Result Length,Result
40,0.31972789764404297,0.4469327926635742,1.0929996967315674,6,"['sao_paulo', 'recife', 'salvador', 'natal', 'natal', 'manaus']"
41,0.3182210922241211,0.5031194686889648,2.398948907852173,2,"['sao_paulo', 'natal']"
42,0.3383932113647461,0.5031194686889648,3.9038424491882324,5,"['sao_paulo', 'natal', 'natal', 'sao_paulo', 'manaus']"
43,0.3402261734008789,0.507145881652832,3.843702793121338,8,"['sao_paulo', 'belo_horizonte', 'fortaleza', 'salvador', 'natal', 'natal', 'recife', 'manaus']"
44,0.3540315628051758,0.507145881652832,2.7925467491149902,8,"['sao_paulo', 'belo_horizonte', 'fortaleza', 'natal', 'natal', 'fortaleza', 'belo_horizonte', 'manaus']"
45,0.3609189987182617,0.507145881652832,3.3554201126098633,6,"['sao_paulo', 'recife', 'natal', 'natal', 'fortaleza', 'manaus']"
46,0.3666973114013672,0.507145881652832,2.168391704559326,9,"['sao_paulo', 'recife', 'natal', 'natal', 'salvador', 'fortaleza', 'recife', 'rio_de_janeiro', 'manaus']"
47,0.3781404495239258,0.507145881652832,1.8880751132965088,6,"['sao_paulo', 'natal', 'natal', 'recife', 'fortaleza', 'manaus']"
48,0.3456306457519531,0.5111198425292969,2.4019150733947754,2,"['sao_paulo', 'natal']"
49,0.3633766174316406,0.5111198425292969,2.760780096054077,6,"['sao_paulo', 'rio_de_janeiro', 'natal', 'natal', 'fortaleza', 'manaus']"
50,0.36081409454345703,0.5111198425292969,2.3678195476531982,5,"['sao_paulo', 'salvador', 'natal', 'natal', 'manaus']"
51,0.21516132354736328,0.5111198425292969,1.419708013534546,6,"['sao_paulo', 'natal', 'natal', 'rio_de_janeiro', 'belo_horizonte', 'manaus']"
