File,Current Memory (MB),Peak Memory (MB),Elapsed Time (seconds),Result Length,Result
1,0.15506458282470703,1.9490203857421875,14.568671941757202,7,"['sao_paulo', 'salvador', 'salvador', 'rio_branco', 'palmas', 'brasilia', 'manaus']"
2,0.1564464569091797,2.0279102325439453,19.010374546051025,4,"['sao_paulo', 'salvador', 'salvador', 'manaus']"
3,0.15784168243408203,2.4600515365600586,8.245320796966553,10,"['sao_paulo', 'belo_horizonte', 'salvador', 'salvador', 'palmas', 'fortaleza', 'aracaju', 'goiania', 'rio_branco', 'manaus']"
4,0.15844345092773438,2.4600515365600586,9.688062906265259,6,"['sao_paulo', 'natal', 'maceio', 'salvador', 'salvador', 'manaus']"
5,0.1592874526977539,3.262989044189453,32.144165992736816,10,"['sao_paulo', 'natal', 'manaus', 'salvador', 'salvador', 'porto_velho', 'joao_pessoa', 'campo_grande', 'natal', 'manaus']"
6,0.15988636016845703,3.262989044189453,2.349562406539917,9,"['sao_paulo', 'recife', 'salvador', 'salvador', 'recife', 'maceio', 'joao_pessoa', 'sao_paulo', 'manaus']"
7,0.16032695770263672,3.262989044189453,8.340662956237793,7,"['sao_paulo', 'cuiaba', 'rio_de_janeiro', 'porto_velho', 'fortaleza', 'brasilia', 'salvador']"
8,0.16073894500732422,3.262989044189453,8.452614307403564,4,"['sao_paulo', 'aracaju', 'brasilia', 'salvador']"
9,0.16155433654785156,3.7889766693115234,16.079192399978638,10,"['sao_paulo', 'porto_velho', 'salvador', 'salvador', 'goiania', 'rio_branco', 'aracaju', 'cuiaba', 'rio_de_janeiro', 'manaus']"
10,0.16214370727539062,5.02232551574707,48.488542556762695,8,"['sao_paulo', 'cuiaba', 'porto_velho', 'brasilia', 'manaus', 'salvador', 'salvador', 'manaus']"
11,0.1625080108642578,5.02232551574707,8.770998477935791,5,"['sao_paulo', 'salvador', 'salvador', 'goiania', 'manaus']"
12,0.1640768051147461,5.02232551574707,7.70955753326416,8,"['sao_paulo', 'aracaju', 'palmas', 'salvador', 'salvador', 'cuiaba', 'maceio', 'manaus']"
13,0.16494083404541016,5.02232551574707,41.42163848876953,14,"['sao_paulo', 'manaus', 'rio_branco', 'belo_horizonte', 'recife', 'salvador', 'salvador', 'recife', 'goiania', 'brasilia', 'natal', 'belo_horizonte', 'rio_branco', 'manaus']"
14,0.1650238037109375,5.02232551574707,5.584565162658691,9,"['sao_paulo', 'fortaleza', 'natal', 'salvador', 'salvador', 'natal', 'maceio', 'campo_grande', 'manaus']"
15,0.16547584533691406,5.02232551574707,5.4772748947143555,10,"['sao_paulo', 'goiania', 'fortaleza', 'brasilia', 'salvador', 'salvador', 'recife', 'brasilia', 'fortaleza', 'manaus']"
