File,Current Memory (MB),Peak Memory (MB),Elapsed Time (seconds),Result Length,Result
1,0.13662433624267578,0.1671915054321289,1.4296693801879883,0,[]
2,0.1400442123413086,0.17258739471435547,1.4944696426391602,7,"['salvador', 'goiania', 'manaus', 'sao_paulo', 'rio_de_janeiro', 'manaus', 'salvador']"
3,0.1411609649658203,0.17258739471435547,1.4693493843078613,8,"['sao_paulo', 'cuiaba', 'belo_horizonte', 'goiania', 'porto_velho', 'maceio', 'brasilia', 'salvador']"
4,0.14162540435791016,0.17258739471435547,1.7401113510131836,0,[]
5,0.14271068572998047,0.1732187271118164,1.7443885803222656,2,"['sao_paulo', 'salvador']"
6,0.14360618591308594,0.1732187271118164,1.3085815906524658,2,"['salvador', 'manaus']"
7,0.14440345764160156,0.1732187271118164,1.3379716873168945,0,[]
8,0.14516544342041016,0.1736745834350586,1.2803664207458496,0,[]
9,0.14631080627441406,0.17486095428466797,1.2157704830169678,2,"['sao_paulo', 'salvador']"
10,0.14747142791748047,0.17629623413085938,1.3052868843078613,5,"['sao_paulo', 'manaus', 'aracaju', 'maceio', 'salvador']"
